,normal_human.mean,old_people.mean,persona_GPT3.5.mean,shape_GPT3.5.mean,persona_GPT4.mean,shape_GPT4.mean,normal_human.sd,old_people.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd
1,2.980263158,3.654135338,2.856666667,2.61,3.136666667,2.87,1.319594533,1.255564058,0.904904265,1.138223106,0.647600838,1.08181997
2,4.164473684,4.533834586,4.12,3.533333333,3.193333333,3.216666667,1.025787237,0.783821951,0.910143507,1.171950132,0.506765818,1.211589336
3,3.677631579,4.165413534,3.463333333,3.286666667,3.026666667,3.156666667,1.248055301,1.142700491,0.597085078,1.114433531,0.269935374,1.014339772
4,2.493421053,2,2.556666667,2.753333333,2.99,2.976666667,1.307121151,1.066003582,0.834131168,1.159152422,0.387816113,1.211478914
5,3.592105263,3.827067669,3,3.003333333,3.483333333,3.136666667,1.181284872,1.311437323,0.578314932,0.840044326,0.676694372,0.949206087
6,2.888157895,3.195488722,3.193333333,3.223333333,3.026666667,3.126666667,1.268828224,1.299525826,0.64602377,1.031342708,0.269935374,1.020175516
7,4.473684211,4.654135338,4.92,4.476666667,3.336666667,3.72,0.690017453,0.564681632,0.409257424,1.039096383,0.651719277,1.285993493
8,3.519736842,4.28030303,3.773333333,3.333333333,3.363333333,3.256666667,1.265802861,1.072305029,0.69539014,1.171950132,0.739240926,1.286977048
9,2.486842105,1.917293233,2.12,2.56,2.87,2.83,1.212445627,0.977358164,0.946176958,1.474328825,0.440165673,1.280585673
10,4.414473684,4.503759398,4.213333333,3.786666667,3.363333333,3.246666667,0.817394333,0.840491019,0.850627678,1.079369732,0.59932143,1.346054145
11,3.638157895,4.052631579,3.13,2.8,3.393333333,3.056666667,1.19905781,1.123548151,0.400376077,1.1003192,0.702567358,1.147975777
12,3.394736842,3.887218045,3.523333333,3.426666667,3.03,3.236666667,1.25100169,1.265235248,0.557216766,0.931404281,0.263308002,1.130597064
13,4.144736842,4.458646617,3.833333333,3.2,3.253333333,3.4,0.8643636,0.908806062,0.726163388,1.267024534,0.556946605,1.433007922
14,2.453947368,1.962406015,2.98,2.966666667,3,2.816666667,1.311380728,1.157361256,0.365209428,1.053210836,0.2586303,1.155062532
15,3.901315789,4.151515152,3.52,3.32,3.18,3.263333333,1.053281648,0.833321767,0.66664437,1.013751601,0.418150091,1.259341903
16,2.328947368,2.593984962,2.963333333,2.883333333,3.01,2.946666667,1.222180853,1.249470154,0.568388753,0.97273305,0.341989067,0.941688988
17,3.921052632,3.879699248,3.28,3.453333333,3.673333333,3.443333333,1.226238073,1.461825312,0.596758244,1.196911671,0.928887324,1.269709717
18,3.796052632,4.181818182,3.426666667,3.12,3.116666667,3.29,1.06937387,1.010012333,0.757099435,1.170541423,0.443898308,1.184868365
19,3.164473684,2.563909774,3.023333333,3.09,3.073333333,3.233333333,1.241896003,1.361557617,0.458427831,0.985802222,0.339124718,0.895299256
20,4.013157895,4.135338346,3.603333333,3.426666667,3.386666667,3.28,1.035699476,1.113157908,0.935721185,1.305233441,0.662282126,1.067112504
21,2.710526316,3.195488722,2.876666667,2.656666667,2.996666667,3.01,1.320403204,1.384211003,0.62937211,1.011037195,0.404806683,1.143499879
22,4.197368421,4.383458647,3.86,3.733333333,3.323333333,3.446666667,0.920980428,1.07817048,0.84227753,1.235845163,0.683382955,1.261928591
23,3.355263158,3.857142857,3.076666667,2.826666667,3.063333333,2.993333333,1.329282507,1.332250643,0.47420649,1.189399481,0.364827657,1.185174114
24,2.440789474,1.586466165,2.52,2.53,2.876666667,2.553333333,1.259315238,0.789397733,0.803170973,1.160570152,0.471376929,1.308764725
25,3.901315789,4.22556391,3.103333333,2.573333333,3.136666667,3.16,1.189133295,1.091402638,0.490023092,1.129398376,0.372089223,1.103839453
26,3.223684211,3.481203008,3.49,2.983333333,3.203333333,3.07,1.372373438,1.469907767,0.786529569,1.122760374,0.562473832,1.014163906
27,3.730263158,4.120300752,3.27,3.696666667,3.006666667,3.293333333,1.212355786,1.080387094,0.592963195,1.096355572,0.141500164,1.162667137
28,3.690789474,4.112781955,3.4,3.44,3.053333333,3.063333333,1.12310799,1.084701714,0.554700196,0.845843665,0.361836022,1.190537759
29,2.5,1.857142857,2.616666667,2.286666667,2.94,2.683333333,1.281555346,1.059894628,0.769216834,1.084007594,0.428577799,1.131661499
30,3.927631579,4.053435115,3.17,3.133333333,3.78,3.386666667,1.061686611,1.242286831,0.56168047,0.885911028,0.931571837,1.192432475
31,2.217105263,2.812030075,2.98,2.946666667,2.976666667,2.876666667,1.228350335,1.420362608,0.638455494,0.886816611,0.420370384,1.044873881
32,3.967105263,4.353383459,4.15,3.78,3.14,3.473333333,0.930838568,0.872088131,0.759003924,1.126571737,0.455806096,1.200315826
33,3.539473684,3.992481203,3.45,3.333333333,3,3.43,1.132784058,1.170963347,0.793472534,1.186133183,0.283315299,0.987429351
34,3.243421053,2.413533835,2.63,2.873333333,3.026666667,3.01,1.469318491,1.472617848,0.606348796,1.198084685,0.416172505,0.847916983
35,4.171052632,4.353383459,3.543333333,3.39,3.26,3.343333333,0.911852171,0.955014586,0.862516864,1.017193332,0.559861426,1.011037195
36,3.263157895,3.428571429,3.01,2.783333333,3,2.596666667,1.160822055,1.169600516,0.191543633,0.843857734,0.231325973,1.097575112
37,3.710526316,4.142857143,3.803333333,3.9,3.11,3.32,1.137160277,1.108799905,0.973557876,1.149378195,0.453046174,1.266073909
38,3.901315789,4.406015038,3.966666667,3.77,3.333333333,3.44,1.014855671,0.798080975,0.825323828,1.247244454,0.624651519,1.234834424
39,2.611842105,2.060150376,2.8,2.866666667,2.99,2.906666667,1.390837292,1.330068342,0.554700196,0.82734751,0.370166735,1.000646391
40,4.085526316,4.098484848,3.84,3.363333333,3.236666667,3.583333333,0.969358899,1.09725437,0.670246797,0.949206087,0.484532208,1.07715199
41,2.980263158,3.5,3.25,2.96,3.183333333,3.146666667,1.324603626,1.310556085,0.830541589,1.023993102,0.563424392,1.114733597
42,2.815789474,3.446969697,3.086666667,3.23,3.033333333,2.93,1.220254303,1.249820713,0.39960962,1.095948757,0.228903645,1.102642008
43,4.197368421,4.511278195,4.05,3.593333333,3.24,3.496666667,0.797674382,0.734605041,0.84253559,1.306513995,0.532301119,1.393962935
44,2.164473684,1.804511278,2.663333333,2.466666667,2.993333333,2.483333333,0.986290656,0.924896772,0.625534331,0.947919155,0.216282568,0.97273305
45,4.092105263,4.390977444,3.06,3.11,3.71,3.34,1.038052578,0.894720089,0.27686733,0.828767873,0.813288465,1.096238628
46,2.973684211,3.218045113,2.84,2.926666667,3.016666667,3.026666667,1.276104214,1.214423082,0.579239497,1.051176545,0.378858816,0.921295196
47,3.796052632,4.187969925,3.19,3.673333333,3.726666667,3.443333333,1.197894487,1.10199802,0.56713208,1.056888009,0.977312311,1.426032064
48,4.092105263,4.413533835,4.286666667,3.713333333,3.53,3.46,0.97216399,0.962381984,0.864279364,1.26616196,0.831507476,1.390988677
49,3.361842105,2.759398496,3.043333333,2.496666667,3.06,2.756666667,1.388454485,1.415018877,0.505609558,1.160954322,0.311002264,0.90932859
50,3.671052632,3.857142857,3.646666667,3.15,3.04,3.03,1.321128936,1.315080693,0.579893505,1.162758225,0.212643813,0.90839636
51,2.835526316,3.278195489,3.523333333,3.323333333,3.186666667,3.24,1.21494054,1.25742271,0.656423538,1.385105512,0.438706927,1.194636845
52,4.394736842,4.646616541,4.563333333,3.86,3.153333333,3.436666667,0.672623555,0.592829485,0.73105199,1.136385162,0.378991209,1.290299111
53,4.059210526,4.462121212,4.41,3.783333333,3.376666667,3.47,0.929527065,0.795073601,0.741890381,1.155062532,0.65028079,1.296676998
54,2.605263158,2.030075188,2.87,2.87,2.973333333,2.816666667,1.424282762,1.364816835,0.542291681,0.994852975,0.382679633,1.143421882
55,4,4.195488722,2.94,2.7,3.06,3.03,0.990016389,1.164231094,0.341744492,0.875149294,0.321576385,1.042138912
56,3.348684211,3.879699248,3.703333333,2.98,3.39,3.076666667,1.158097712,1.044738578,0.855039491,1.190654804,0.626531568,1.181287584
57,3.236842105,3.834586466,3.426666667,3.43,3.02,3.206666667,1.183422146,1.060163303,0.621215409,1.206905992,0.270512953,1.198084685
58,3.703947368,4.165413534,3.413333333,3.72,2.966666667,2.94,1.14994279,1.149311066,0.676274139,0.881773828,0.382154895,1.157959224
59,2.519736842,2.022556391,2.723333333,2.77,2.983333333,2.633333333,1.234012433,1.270088075,0.548749465,1.000217368,0.300037159,1.09981249
60,3.736842105,4.242424242,3.53,3.333333333,3.15,3.336666667,1.065639391,0.90056142,0.686053129,1.082958086,0.40171039,1.2061668
