Item content,normal_human.sd,old_people.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd
"I am someone who Is outgoing, sociable",1.319594533,1.255564058,0.904904265,1.14,0.65,1.08
"I am someone who Is compassionate, has a soft heart",1.025787237,0.783821951,0.910143507,1.17,0.51,1.21
I am someone who Tends to be disorganized,1.248055301,1.142700491,0.597085078,1.11,0.27,1.01
"I am someone who Is relaxed, handles stress well",1.307121151,1.066003582,0.834131168,1.16,0.39,1.21
I am someone who Has few artistic interests,1.181284872,1.311437323,0.578314932,0.84,0.68,0.95
I am someone who Has an assertive personality,1.268828224,1.299525826,0.64602377,1.03,0.27,1.02
"I am someone who Is respectful, treats others with respect",0.690017453,0.564681632,0.409257424,1.04,0.65,1.29
I am someone who Tends to be lazy,1.265802861,1.072305029,0.69539014,1.17,0.74,1.29
I am someone who Stays optimistic after experiencing a setback,1.212445627,0.977358164,0.946176958,1.47,0.44,1.28
I am someone who Is curious about many different things,0.817394333,0.840491019,0.850627678,1.08,0.6,1.35
I am someone who Rarely feels excited or eager,1.19905781,1.123548151,0.400376077,1.1,0.7,1.15
I am someone who Tends to find fault with others,1.25100169,1.265235248,0.557216766,0.93,0.26,1.13
"I am someone who Is dependable, steady",0.8643636,0.908806062,0.726163388,1.27,0.56,1.43
"I am someone who Is moody, has up and down mood swings",1.311380728,1.157361256,0.365209428,1.05,0.26,1.16
"I am someone who Is inventive, finds clever ways to do things",1.053281648,0.833321767,0.66664437,1.01,0.42,1.26
I am someone who Tends to be quiet,1.222180853,1.249470154,0.568388753,0.97,0.34,0.94
I am someone who Feels little sympathy for others,1.226238073,1.461825312,0.596758244,1.2,0.93,1.27
"I am someone who Is systematic, likes to keep things in order",1.06937387,1.010012333,0.757099435,1.17,0.44,1.18
I am someone who Can be tense,1.241896003,1.361557617,0.458427831,0.99,0.34,0.9
"I am someone who Is fascinated by art, music, or literature",1.035699476,1.113157908,0.935721185,1.31,0.66,1.07
"I am someone who Is dominant, acts as a leader",1.320403204,1.384211003,0.62937211,1.01,0.4,1.14
I am someone who Starts arguments with others,0.920980428,1.07817048,0.84227753,1.24,0.68,1.26
I am someone who Has difficulty getting started on tasks,1.329282507,1.332250643,0.47420649,1.19,0.36,1.19
"I am someone who Feels secure, comfortable with self",1.259315238,0.789397733,0.803170973,1.16,0.47,1.31
"I am someone who Avoids intellectual, philosophical discussions",1.189133295,1.091402638,0.490023092,1.13,0.37,1.1
I am someone who Is less active than other people,1.372373438,1.469907767,0.786529569,1.12,0.56,1.01
I am someone who Has a forgiving nature,1.212355786,1.080387094,0.592963195,1.1,0.14,1.16
I am someone who Can be somewhat careless,1.12310799,1.084701714,0.554700196,0.85,0.36,1.19
"I am someone who Is emotionally stable, not easily upset",1.281555346,1.059894628,0.769216834,1.08,0.43,1.13
I am someone who Has little creativity,1.061686611,1.242286831,0.56168047,0.89,0.93,1.19
"I am someone who Is sometimes shy, introverted",1.228350335,1.420362608,0.638455494,0.89,0.42,1.04
I am someone who Is helpful and unselfish with others,0.930838568,0.872088131,0.759003924,1.13,0.46,1.2
I am someone who Keeps things neat and tidy,1.132784058,1.170963347,0.793472534,1.19,0.28,0.99
I am someone who Worries a lot,1.469318491,1.472617848,0.606348796,1.2,0.42,0.85
I am someone who Values art and beauty,0.911852171,0.955014586,0.862516864,1.02,0.56,1.01
I am someone who Finds it hard to influence people,1.160822055,1.169600516,0.191543633,0.84,0.23,1.1
I am someone who Is sometimes rude to others,1.137160277,1.108799905,0.973557876,1.15,0.45,1.27
"I am someone who Is efficient, gets things done",1.014855671,0.798080975,0.825323828,1.25,0.62,1.23
I am someone who Often feels sad,1.390837292,1.330068342,0.554700196,0.83,0.37,1
"I am someone who Is complex, a deep thinker",0.969358899,1.09725437,0.670246797,0.95,0.48,1.08
I am someone who Is full of energy,1.324603626,1.310556085,0.830541589,1.02,0.56,1.11
I am someone who Is suspicious of others’ intentions,1.220254303,1.249820713,0.39960962,1.1,0.23,1.1
"I am someone who Is reliable, can always be counted on",0.797674382,0.734605041,0.84253559,1.31,0.53,1.39
I am someone who Keeps their emotions under control,0.986290656,0.924896772,0.625534331,0.95,0.22,0.97
I am someone who Has difficulty imagining things,1.038052578,0.894720089,0.27686733,0.83,0.81,1.1
I am someone who Is talkative,1.276104214,1.214423082,0.579239497,1.05,0.38,0.92
I am someone who Can be cold and uncaring,1.197894487,1.10199802,0.56713208,1.06,0.98,1.43
"I am someone who Leaves a mess, doesn’t clean up",0.97216399,0.962381984,0.864279364,1.27,0.83,1.39
I am someone who Rarely feels anxious or afraid,1.388454485,1.415018877,0.505609558,1.16,0.31,0.91
I am someone who Thinks poetry and plays are boring,1.321128936,1.315080693,0.579893505,1.16,0.21,0.91
I am someone who Prefers to have others take charge,1.21494054,1.25742271,0.656423538,1.39,0.44,1.19
"I am someone who Is polite, courteous to others",0.672623555,0.592829485,0.73105199,1.14,0.38,1.29
"I am someone who Is persistent, works until the task is finished",0.929527065,0.795073601,0.741890381,1.16,0.65,1.3
"I am someone who Tends to feel depressed, blue",1.424282762,1.364816835,0.542291681,0.99,0.38,1.14
I am someone who Has little interest in abstract Ideas,0.990016389,1.164231094,0.341744492,0.88,0.32,1.04
I am someone who Shows a lot of Enthusiasm,1.158097712,1.044738578,0.855039491,1.19,0.63,1.18
I am someone who Assumes the best about people,1.183422146,1.060163303,0.621215409,1.21,0.27,1.2
I am someone who Sometimes behaves irresponsibly,1.14994279,1.149311066,0.676274139,0.88,0.38,1.16
"I am someone who Is temperamental, gets emotional easily",1.234012433,1.270088075,0.548749465,1,0.3,1.1
"I am someone who Is original, comes up with new Ideas",1.065639391,0.90056142,0.686053129,1.08,0.4,1.21
