"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
37,48,48,26,48
37,52,48,28,51
41,48,47,27,47
30,50,44,35,17
20,41,53,32,24
36,36,36,36,38
35,48,41,28,49
17,47,38,43,33
39,54,46,25,44
36,38,36,36,37
14,45,38,38,35
41,46,51,26,37
58,51,47,19,47
38,55,45,29,38
42,49,39,27,43
34,43,44,44,41
33,48,15,34,43
25,43,39,33,18
36,44,41,52,45
34,43,46,29,40
47,48,44,30,46
34,36,30,53,44
29,44,24,36,38
38,54,50,27,43
35,28,33,39,36
38,45,20,36,47
39,49,47,26,45
25,46,42,39,39
36,36,36,36,37
38,50,45,27,49
30,51,41,32,25
33,52,44,31,17
42,15,43,35,43
44,51,42,29,48
24,42,36,42,35
41,49,48,26,52
56,53,52,19,47
37,33,47,30,38
34,50,59,24,36
33,15,22,46,35
35,55,47,28,16
36,46,48,28,36
32,22,32,43,40
33,15,36,35,30
30,44,13,41,39
23,44,45,23,12
36,49,51,22,42
33,47,50,19,39
36,38,36,36,38
36,40,39,35,40
57,54,50,24,49
32,52,45,24,41
18,42,32,51,34
58,53,47,16,48
33,54,45,26,40
27,43,15,39,42
31,22,35,32,34
44,46,30,35,51
39,40,50,29,34
42,50,46,27,48
35,47,40,30,22
32,52,43,27,38
13,36,33,46,22
42,53,47,27,45
32,48,26,41,46
40,50,50,26,46
47,43,44,28,44
43,59,55,26,46
39,43,47,29,42
31,13,24,40,37
34,46,51,20,37
33,52,44,25,37
47,53,49,26,45
36,34,43,29,36
39,51,43,26,51
17,49,49,34,15
36,38,36,36,38
25,46,46,37,40
26,45,36,48,42
37,49,47,30,19
32,12,29,41,25
36,40,40,36,39
40,57,52,24,45
36,45,45,28,40
35,52,42,28,29
34,47,27,38,42
17,45,38,37,33
41,58,52,26,46
31,12,24,40,31
57,54,46,19,50
57,56,48,19,48
30,38,38,56,42
12,49,42,45,26
45,55,51,25,54
31,48,52,23,39
32,50,46,32,20
19,49,46,33,33
37,53,51,28,43
35,59,51,28,43
44,51,60,19,43
56,48,51,21,43
37,53,48,30,40
36,50,43,25,39
47,51,46,28,48
36,39,36,36,36
36,38,37,36,36
38,44,22,36,46
25,33,31,56,37
34,54,49,27,44
36,38,36,36,36
43,53,47,30,47
33,49,37,32,26
39,48,22,35,47
21,40,39,40,23
17,45,36,45,33
28,14,27,42,21
39,53,46,29,45
36,47,55,30,35
33,50,22,36,46
44,49,42,30,46
26,50,47,30,14
33,21,33,36,37
17,46,36,35,32
32,46,21,31,41
35,49,47,24,39
29,24,23,56,28
34,42,35,52,45
36,48,42,24,45
40,45,25,37,46
28,36,38,33,13
36,48,42,20,37
37,50,40,29,54
36,59,53,29,44
36,36,36,36,38
34,31,35,31,40
30,44,43,47,41
31,47,50,25,40
40,42,48,28,38
34,47,30,36,46
24,38,27,59,37
24,37,22,38,39
41,51,55,24,43
36,50,43,22,42
36,39,39,36,41
38,60,47,34,37
35,39,34,53,43
15,43,30,45,28
36,29,42,37,37
46,52,42,28,50
38,59,46,29,44
32,13,44,36,25
47,49,49,27,44
36,50,22,41,47
23,40,37,56,38
42,50,60,24,41
19,44,50,32,13
22,53,42,32,16
37,59,49,30,43
41,49,38,31,47
35,16,26,43,35
34,44,47,21,38
30,41,16,33,43
38,55,43,32,49
32,27,37,32,36
35,45,27,36,41
39,53,43,29,48
37,18,49,37,38
40,51,43,31,48
35,49,46,25,21
57,54,51,15,47
36,47,48,30,41
35,51,50,20,39
34,45,27,36,40
36,38,37,36,37
38,49,59,20,39
25,43,45,40,35
36,39,37,36,38
59,52,48,18,50
29,17,26,39,34
22,45,46,31,15
34,49,50,16,38
57,55,45,19,48
41,49,41,31,49
57,52,49,23,46
37,58,45,27,44
47,45,44,29,46
41,55,48,26,50
19,46,41,44,26
31,16,37,25,36
36,38,36,36,37
36,45,50,30,36
36,36,36,36,36
40,44,27,38,45
33,43,38,29,36
38,54,48,29,41
58,53,45,21,47
32,37,31,54,36
45,53,46,32,46
36,41,19,40,41
36,38,39,36,40
30,46,19,40,39
35,43,41,30,27
39,48,26,32,45
25,46,45,30,25
41,50,39,26,45
30,14,35,42,32
24,41,41,33,30
16,40,41,30,22
23,40,22,60,39
25,44,42,41,36
30,20,33,37,32
38,48,53,18,36
35,45,53,30,31
38,40,48,29,36
38,57,47,28,44
17,39,42,36,31
28,12,33,54,40
59,52,51,24,48
37,49,44,28,44
42,50,42,27,53
38,50,51,25,46
21,37,35,59,35
39,33,37,33,38
34,44,42,29,40
37,40,44,34,42
38,50,47,26,46
42,51,58,24,41
37,43,47,30,35
13,41,24,43,22
28,45,33,40,19
37,59,52,28,42
48,50,47,26,47
39,45,50,28,33
40,49,58,21,37
36,58,49,30,43
32,12,33,41,16
43,48,60,22,28
41,51,46,28,47
21,44,41,35,32
39,45,60,26,39
30,30,34,59,36
35,48,44,26,40
40,43,59,24,34
37,49,38,32,44
40,47,59,25,35
36,36,36,36,36
43,58,50,28,30
15,46,40,33,35
32,45,25,33,35
16,45,41,40,40
13,41,31,38,32
36,60,51,32,37
55,49,46,22,52
32,45,45,45,41
35,55,46,33,42
38,55,48,30,44
35,43,42,28,40
39,58,48,26,45
39,47,54,26,37
42,47,24,35,49
28,38,25,58,39
35,28,30,36,37
32,13,31,36,34
33,50,44,29,15
36,50,47,29,44
29,40,41,35,17
25,41,39,31,22
24,43,35,40,35
24,41,37,55,34
31,46,44,27,29
39,44,56,32,40
34,12,22,44,33
31,42,14,37,44
37,55,50,27,45
56,50,51,23,50
58,55,42,19,51
40,47,28,31,45
23,40,44,32,20
34,53,51,16,37
36,47,47,30,43
29,43,25,35,42
56,54,48,23,48
28,19,30,37,34
13,46,35,47,34
48,53,39,29,50
38,45,29,34,47
35,35,26,57,37
19,42,50,36,13
39,59,49,27,44
37,58,53,29,42
12,43,36,45,34
30,45,45,46,43
39,49,54,23,35
21,49,36,41,38
40,45,55,24,35
55,47,47,24,49
35,15,32,31,36
58,53,47,24,50
37,46,52,30,36
58,45,46,23,49
